"SID","LocalPath","LocalComputerName","LocalUsername","JumpCloudUserName"
"S-1-5-21-1503422333-385198987-3531386807-12829","C:\Users\test.jc3","TESTJUMPCLOUD1","S-1-5-21-1503422333-385198987-3531386807-12829",""
"S-1-5-21-1503422333-385198987-3531386807-12827","C:\Users\test.jc1.FIBERSTAR","TESTJUMPCLOUD1","S-1-5-21-1503422333-385198987-3531386807-12827",""
"S-1-5-21-1503422333-385198987-3531386807-10530","C:\Users\user.print","TESTJUMPCLOUD1","S-1-5-21-1503422333-385198987-3531386807-10530",""
"S-1-5-21-1503422333-385198987-3531386807-10499","C:\Users\user.var","TESTJUMPCLOUD1","S-1-5-21-1503422333-385198987-3531386807-10499",""
"S-1-5-21-1503422333-385198987-3531386807-8879","C:\Users\muhammad.aswin","TESTJUMPCLOUD4","FIBERSTAR\muhammad.aswin",""
"S-1-5-21-1503422333-385198987-3531386807-8844","C:\Users\satria.finandar","TESTJUMPCLOUD4","S-1-5-21-1503422333-385198987-3531386807-8844",""
"S-1-5-21-1503422333-385198987-3531386807-4445","C:\Users\janri.sinaga","TESTJUMPCLOUD4","FIBERSTAR\janri.sinaga",""
"S-1-5-21-1503422333-385198987-3531386807-4140","C:\Users\hendrikt.sahputra","TESTJUMPCLOUD4","FIBERSTAR\hendrikt.sahputra",""
"S-1-5-21-1503422333-385198987-3531386807-3902","C:\Users\nur.aeni","TESTJUMPCLOUD4","S-1-5-21-1503422333-385198987-3531386807-3902",""
"S-1-5-21-1503422333-385198987-3531386807-2194","C:\Users\muhammad.nur","TESTJUMPCLOUD4","FIBERSTAR\muhammad.nur",""
"S-1-5-21-1503422333-385198987-3531386807-12831","C:\Users\test.jc4","TESTJUMPCLOUD4","FIBERSTAR\test.jc4",""
"S-1-5-21-1503422333-385198987-3531386807-12827","C:\Users\test.jc1","TESTJUMPCLOUD4","FIBERSTAR\test.jc1",""
"S-1-5-21-1503422333-385198987-3531386807-10499","C:\Users\user.var","TESTJUMPCLOUD4","FIBERSTAR\user.var",""
